source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0050793,regulation of developmental process,0.0016928228280104493,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2455,139,37,21031,0.26618705035971224,0.015071283095723014,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0045595,regulation of cell differentiation,0.0021793867424792853,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1576,139,28,21031,0.2014388489208633,0.017766497461928935,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0071310,cellular response to organic substance,0.002326142736242828,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]",1971,139,32,21031,0.2302158273381295,0.016235413495687467,query_1,"['GO:0010033', 'GO:0070887']"
GO:BP,GO:0007399,nervous system development,0.0035318648706329087,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2531,139,37,21031,0.26618705035971224,0.014618727775582773,query_1,['GO:0048731']
GO:BP,GO:0002376,immune system process,0.0045544449301284555,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2776,139,39,21031,0.2805755395683453,0.014048991354466859,query_1,['GO:0008150']
GO:BP,GO:0060284,regulation of cell development,0.005679736020808673,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",849,139,19,21031,0.1366906474820144,0.02237926972909305,query_1,"['GO:0045595', 'GO:0048468']"
GO:BP,GO:0006950,response to stress,0.0065648695323246836,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3855,139,48,21031,0.34532374100719426,0.012451361867704281,query_1,['GO:0050896']
GO:BP,GO:0042110,T cell activation,0.007212685160846687,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",555,139,15,21031,0.1079136690647482,0.02702702702702703,query_1,['GO:0046649']
GO:BP,GO:0009605,response to external stimulus,0.007537056189980816,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2723,139,38,21031,0.2733812949640288,0.01395519647447668,query_1,['GO:0050896']
GO:BP,GO:0009628,response to abiotic stimulus,0.00830707724595142,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1128,139,22,21031,0.15827338129496402,0.01950354609929078,query_1,['GO:0050896']
GO:BP,GO:2000026,regulation of multicellular organismal development,0.009395329883277877,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1411,139,25,21031,0.17985611510791366,0.01771793054571226,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
