source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0045595,regulation of cell differentiation,0.0021793867424792853,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1576,139,28,21031,0.2014388489208633,0.017766497461928935,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0071310,cellular response to organic substance,0.002326142736242828,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]",1971,139,32,21031,0.2302158273381295,0.016235413495687467,query_1,"['GO:0010033', 'GO:0070887']"
GO:BP,GO:0007399,nervous system development,0.0035318648706329087,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2531,139,37,21031,0.26618705035971224,0.014618727775582773,query_1,['GO:0048731']
GO:BP,GO:0023052,signaling,0.0036282544249708125,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6447,139,69,21031,0.49640287769784175,0.010702652396463471,query_1,['GO:0050789']
GO:BP,GO:0002376,immune system process,0.0045544449301284555,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2776,139,39,21031,0.2805755395683453,0.014048991354466859,query_1,['GO:0008150']
GO:BP,GO:0007165,signal transduction,0.004906547959274691,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",5959,139,65,21031,0.4676258992805755,0.010907870448061756,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0048522,positive regulation of cellular process,0.005644481121218806,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5717,139,63,21031,0.45323741007194246,0.011019765611334616,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0048518,positive regulation of biological process,0.005667236800137803,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6250,139,67,21031,0.48201438848920863,0.01072,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0060284,regulation of cell development,0.005679736020808673,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",849,139,19,21031,0.1366906474820144,0.02237926972909305,query_1,"['GO:0045595', 'GO:0048468']"
GO:BP,GO:0006950,response to stress,0.0065648695323246836,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3855,139,48,21031,0.34532374100719426,0.012451361867704281,query_1,['GO:0050896']
GO:BP,GO:0042110,T cell activation,0.007212685160846687,True,"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]",555,139,15,21031,0.1079136690647482,0.02702702702702703,query_1,['GO:0046649']
GO:BP,GO:0009605,response to external stimulus,0.007537056189980816,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2723,139,38,21031,0.2733812949640288,0.01395519647447668,query_1,['GO:0050896']
GO:BP,GO:0009628,response to abiotic stimulus,0.00830707724595142,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",1128,139,22,21031,0.15827338129496402,0.01950354609929078,query_1,['GO:0050896']
GO:BP,GO:2000026,regulation of multicellular organismal development,0.009395329883277877,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1411,139,25,21031,0.17985611510791366,0.01771793054571226,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0050870,positive regulation of T cell activation,0.010158410402944044,True,"""Any process that activates or increases the frequency, rate or extent of T cell activation."" [GOC:ai]",247,139,10,21031,0.07194244604316546,0.04048582995951417,query_1,"['GO:0042110', 'GO:0050863', 'GO:0051251', 'GO:1903039']"
GO:BP,GO:0030217,T cell differentiation,0.011360833590475248,True,"""The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex."" [GO_REF:0000022, GOC:jid, GOC:mah]",308,139,11,21031,0.07913669064748201,0.03571428571428571,query_1,"['GO:0030098', 'GO:0042110']"
GO:BP,GO:0051240,positive regulation of multicellular organismal process,0.013970056974942894,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1637,139,27,21031,0.19424460431654678,0.016493585827733658,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0048513,animal organ development,0.01624742294685276,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3039,139,40,21031,0.28776978417266186,0.013162224415926292,query_1,['GO:0048856']
GO:BP,GO:0048468,cell development,0.017065644282453916,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2819,139,38,21031,0.2733812949640288,0.013479957431713374,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,0.022113092780602746,True,"""Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]",270,139,10,21031,0.07194244604316546,0.037037037037037035,query_1,"['GO:0007159', 'GO:0022409', 'GO:1903037']"
GO:BP,GO:0006955,immune response,0.023015859191107893,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",1988,139,30,21031,0.2158273381294964,0.015090543259557344,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0065009,regulation of molecular function,0.02709689690295935,True,"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]",1799,139,28,21031,0.2014388489208633,0.01556420233463035,query_1,['GO:0065007']
GO:BP,GO:0002521,leukocyte differentiation,0.030695689052958715,True,"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]",627,139,15,21031,0.1079136690647482,0.023923444976076555,query_1,"['GO:0030097', 'GO:0030154']"
GO:BP,GO:0032501,multicellular organismal process,0.03203499756620385,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7669,139,75,21031,0.539568345323741,0.009779632285826054,query_1,['GO:0008150']
GO:BP,GO:1903131,mononuclear cell differentiation,0.03482790516941184,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell."" [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]",484,139,13,21031,0.09352517985611511,0.026859504132231406,query_1,['GO:0002521']
GO:BP,GO:1901362,organic cyclic compound biosynthetic process,0.047598855719307234,True,"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]",4264,139,49,21031,0.35251798561151076,0.01149155722326454,query_1,"['GO:1901360', 'GO:1901576']"
